Genre,Global,Review
Action,2.3313602941176472,78.89882352941176
Adventure,2.1915238095238094,81.64609523809524
Fighting,1.968,82.13832
Misc,2.7264705882352938,72.68627450980392
Platform,3.1896774193548385,78.42596774193548
Puzzle,2.4693181818181817,74.30681818181819
Racing,2.438804347826087,78.07934782608696
Role-Playing,2.889122807017544,83.91824561403509
Shooter,2.7136274509803924,81.14916666666667
Simulation,2.229782608695652,73.81184782608695
Sports,2.2812211221122114,78.82260726072607
Strategy,1.8966666666666667,82.3202564102564
